0,ProblemDescription,ProblemCategory,ProblemKeyword,Solution,SolutionDoc,AdditionalInfo,Code,L2D_SIM,CreateDate,UpdateDate
SC 법인 차량에 에어컨이 안나옵니다.,제어판 실행 시 “운영 체제가 현재 이 응용 프로그램을 실행하도록 구성되지 않았습니다.” 오류 메시지가 뜨는 경우,MS Office 및 기타 프로그램,제어판,Microsoft Office가 정상적으로 설치되지 않은 경우 발생할 수 있는 오류입니다.오류 메시지 ‘닫기’ 버튼 작동이 안될 수도 있으니 오류 메시지 창을 닫지 않고 Microsoft Office 삭제를 진행합니다.1.제어판→프로그램→프로그램 제거→‘Microsoft Office Standard 2016’ 제거2.PC 재부팅,cesco46_12.pdf,,cesco46,0.6734046379267264,2024-09-26,2024-09-26
차세대시스템 내 DB 구조가 궁금합니다.,제어판 실행 시 “운영 체제가 현재 이 응용 프로그램을 실행하도록 구성되지 않았습니다.” 오류 메시지가 뜨는 경우,MS Office 및 기타 프로그램,제어판,Microsoft Office가 정상적으로 설치되지 않은 경우 발생할 수 있는 오류입니다.오류 메시지 ‘닫기’ 버튼 작동이 안될 수도 있으니 오류 메시지 창을 닫지 않고 Microsoft Office 삭제를 진행합니다.1.제어판→프로그램→프로그램 제거→‘Microsoft Office Standard 2016’ 제거2.PC 재부팅,cesco46_12.pdf,,cesco46,0.6463287719442975,2024-09-26,2024-09-26
DATA를 DB에 올리는 방법이 궁금합니다.,한글 파일을 설치하고 싶은 경우,MS Office 및 기타 프로그램,한글,업무지원담당 박현 매니저님께 문의,cesco46_10.pdf,,cesco46,0.6491993484627774,2024-09-26,2024-09-26
바퀴벌레 해충 동정 법이 궁금합니다.,한글 파일을 설치하고 싶은 경우,MS Office 및 기타 프로그램,한글,업무지원담당 박현 매니저님께 문의,cesco46_10.pdf,,cesco46,0.6706066135470605,2024-09-26,2024-09-26
시궁쥐와 들쥐의 차이점이 궁금합니다.,한글 파일을 설치하고 싶은 경우,MS Office 및 기타 프로그램,한글,업무지원담당 박현 매니저님께 문의,cesco46_10.pdf,,cesco46,0.6917547005237595,2024-09-26,2024-09-26
세스코 터치센터의 주소가 궁금해요.,엑셀 하이퍼링크 작동 오류 ‘소속 조직의 정책으로 인해 이 동작을 완료할 수 없습니다. 자세한 내용은 지원 센터에 문의하세요.’오류 메시지 발생,MS Office 및 기타 프로그램,MS Office,1.검색→regedit 검색→레지스트리 편집기 실행2.HKEY_CLASSES_ROOT→.html 클릭→(기본값) 마우스 우클릭→수정3.값 데이터에 htmlfile 입력→확인4.하이퍼링크 작동 확인,cesco46_9.pdf,,cesco46,0.6861794968122776,2024-09-26,2024-09-26
세스카페의 아메리카노 가격이 궁금합니다.,Chrome에서 Adobe Acrobat Reader DC로 연결하는 방법,MS Office 및 기타 프로그램,PDF,1.Chrome→설정→개인 정보 보호 및 보안→사이트 설정2.추가 컨텐츠 설정→PDF 문서3.Chrome에서 PDF 열기,cesco46_3.pdf,,cesco46,0.7369583225784765,2024-09-26,2024-09-26
세스코 터치센터 근처 버스정류장이 어디있나요,엑셀 하이퍼링크 작동 오류 ‘소속 조직의 정책으로 인해 이 동작을 완료할 수 없습니다. 자세한 내용은 지원 센터에 문의하세요.’오류 메시지 발생,MS Office 및 기타 프로그램,MS Office,1.검색→regedit 검색→레지스트리 편집기 실행2.HKEY_CLASSES_ROOT→.html 클릭→(기본값) 마우스 우클릭→수정3.값 데이터에 htmlfile 입력→확인4.하이퍼링크 작동 확인,cesco46_9.pdf,,cesco46,0.7083622328154808,2024-09-26,2024-09-26
터치센터에서 강일역 가능 방법이 궁금해요,한글 파일을 설치하고 싶은 경우,MS Office 및 기타 프로그램,한글,업무지원담당 박현 매니저님께 문의,cesco46_10.pdf,,cesco46,0.6465291817341753,2024-09-26,2024-09-26
셔틀버스 탑승 시간을 알려주세요.,제어판 실행 시 “운영 체제가 현재 이 응용 프로그램을 실행하도록 구성되지 않았습니다.” 오류 메시지가 뜨는 경우,MS Office 및 기타 프로그램,제어판,Microsoft Office가 정상적으로 설치되지 않은 경우 발생할 수 있는 오류입니다.오류 메시지 ‘닫기’ 버튼 작동이 안될 수도 있으니 오류 메시지 창을 닫지 않고 Microsoft Office 삭제를 진행합니다.1.제어판→프로그램→프로그램 제거→‘Microsoft Office Standard 2016’ 제거2.PC 재부팅,cesco46_12.pdf,,cesco46,0.6985220181661418,2024-09-26,2024-09-26
출근 할 때 잠실역에서 셔틀버스 어디서 타는지 알고 싶어요.,한글 파일을 설치하고 싶은 경우,MS Office 및 기타 프로그램,한글,업무지원담당 박현 매니저님께 문의,cesco46_10.pdf,,cesco46,0.6937573862112192,2024-09-26,2024-09-26
본사 직원 출근 시간이 궁금합니다.,제어판 실행 시 “운영 체제가 현재 이 응용 프로그램을 실행하도록 구성되지 않았습니다.” 오류 메시지가 뜨는 경우,MS Office 및 기타 프로그램,제어판,Microsoft Office가 정상적으로 설치되지 않은 경우 발생할 수 있는 오류입니다.오류 메시지 ‘닫기’ 버튼 작동이 안될 수도 있으니 오류 메시지 창을 닫지 않고 Microsoft Office 삭제를 진행합니다.1.제어판→프로그램→프로그램 제거→‘Microsoft Office Standard 2016’ 제거2.PC 재부팅,cesco46_12.pdf,,cesco46,0.6799708028092905,2024-09-26,2024-09-26
IT 서비스 데스크 직통 번호를 알려주세요.,Edge에서 Adobe Acrobat Reader DC로 연결하는 방법,MS Office 및 기타 프로그램,PDF,"1.설정→쿠키 및 사이트 권한→PDF 문서2.항상 PDF 파일 다운로드 활성화, PDF 보기 설정 활성화 해제",cesco46_4.pdf,,cesco46,0.6767403516402223,2024-09-26,2024-09-26
회사에서 지급한 노트북이 고장났어요.,MS Office 사용 중 ‘이 응용 프로그램의 라이선스를 찾지 못했습니다. 복구를 시도했지만 실패했거나 취소되었습니다.Microsoft Office가 종료됩니다.’ 또는 ‘사용 허가되지 않은 제품’입니다. 오류 메시지 발생,MS Office 및 기타 프로그램,MS Office,1.PC를 재부팅합니다. (재부팅해도 동일한 경우 2번부터 진행)2.제어판→프로그램 및 기능→Microsoft Office Standard 마우스 우클릭→변경,cesco46_5.pdf,,cesco46,0.6414509078171414,2024-09-26,2024-09-26
윈도우 설치 방법이 궁금합니다.,한글 파일을 설치하고 싶은 경우,MS Office 및 기타 프로그램,한글,업무지원담당 박현 매니저님께 문의,cesco46_10.pdf,,cesco46,0.579054368976422,2024-09-26,2024-09-26
세스톡 로그인이 안됩니다.,MS Office 사용 중 ‘이 응용 프로그램의 라이선스를 찾지 못했습니다. 복구를 시도했지만 실패했거나 취소되었습니다.Microsoft Office가 종료됩니다.’ 또는 ‘사용 허가되지 않은 제품’입니다. 오류 메시지 발생,MS Office 및 기타 프로그램,MS Office,1.PC를 재부팅합니다. (재부팅해도 동일한 경우 2번부터 진행)2.제어판→프로그램 및 기능→Microsoft Office Standard 마우스 우클릭→변경,cesco46_5.pdf,,cesco46,0.647983989918104,2024-09-26,2024-09-26
