0,ProblemDescription,ProblemCategory,ProblemKeyword,Solution,SolutionDoc,AdditionalInfo,Code,L2D_SIM,CreateDate,UpdateDate
SC 법인 차량에 에어컨이 안나옵니다.,본사에서 네트워크 연결 시 CESCO_User 와이파이가 보이지 않거나 눌러도 네트워크가 연결되지 않습니다 라고 나올 경우.,네트워크 및 인터넷,네트워크,"윈도우 업데이트를 오래 하지 않아서 생긴 문제입니다.1.설정 → updaet → windows update에서 최신 업데이트 하기2.PC 재부팅 → WIFI → 알려진 네트워크 관리 클릭3.새 네트워크 추가 → 이름: CESCO_User, 보안종류: WP A2-개인 AES, 보안 키:cesco15881119 입력4.CESCO_User 정상 연결 확인",cesco56_2.pdf,,cesco56,1.1217271563943878,2024-10-04,2024-10-04
차세대시스템 내 DB 구조가 궁금합니다.,그룹웨어 통합로그인모듈 무한 재설치 되는 경우,그룹웨어,그룹웨어,"1.제어판 → 프로그램 및 기능 → KSignAccessCS 버전 1.0.0.3 → 제거2.PC 재부팅3.브라우저(Edge, Chrome) 바로가기 마우스 우클릭 → 관리자 권한으로 실행 → 그룹웨어접속4.통합로그인모듈 설치 파일 다운로드 → 폴더 열기 → 설치 파일 마우스 우클릭 → 관리자 권한으로 실행5.그룹웨어 접속",cesco55_4.pdf,,cesco56,0.9910439637206773,2024-10-04,2024-10-04
DATA를 DB에 올리는 방법이 궁금합니다.,DLP USB 사용 신청 방법,보안프로그램,내부정보유출방지(DLP),1.그룹웨어 → 결재 → 전산 → 내부유출방지 시스템 예외처리 신청서(DLP)2.신청 사유에 USB 사용 작성하기,cesco58_4.pdf,,cesco59,1.0362161068958684,2024-10-04,2024-10-04
바퀴벌레 해충 동정 법이 궁금합니다.,세스넷 구획화 모니터링 → 도면관리 → 고객도면 등록 화면에서인쇄 시 출력 오류,세스넷,"(구)방제관리, 신방제관리",※http://cesnet.cesco.biz/ 에서 크리스탈 리포트 설치,cesco60_19.pdf,,cesco63,1.0706464149128254,2024-10-04,2024-10-04
시궁쥐와 들쥐의 차이점이 궁금합니다.,세스톡 바탕 투명도 조절하는 방법,세스톡,세스톡,1.채팅창 시작2.채팅창 상단의 조절바로 투명도 조절이 가능합니다.,cesco62_3.pdf,,cesco63,1.1443204197349888,2024-10-04,2024-10-04
세스코 터치센터의 주소가 궁금해요.,세스톡 바탕 투명도 조절하는 방법,세스톡,세스톡,1.채팅창 시작2.채팅창 상단의 조절바로 투명도 조절이 가능합니다.,cesco62_3.pdf,,cesco63,0.9671386731075977,2024-10-04,2024-10-04
세스카페의 아메리카노 가격이 궁금합니다.,세스톡 바탕 투명도 조절하는 방법,세스톡,세스톡,1.채팅창 시작2.채팅창 상단의 조절바로 투명도 조절이 가능합니다.,cesco62_3.pdf,,cesco63,1.1123056520586796,2024-10-04,2024-10-04
세스코 터치센터 근처 버스정류장이 어디있나요,세스톡 바탕 투명도 조절하는 방법,세스톡,세스톡,1.채팅창 시작2.채팅창 상단의 조절바로 투명도 조절이 가능합니다.,cesco62_3.pdf,,cesco63,1.1147226888134798,2024-10-04,2024-10-04
터치센터에서 강일역 가능 방법이 궁금해요,"세스톡 서비스 지연 안내 쪽지가 계속 오거나, 다른 지국/지부 에서 쪽지가 오는 경우",세스톡,세스톡 오류,※설치 A/S팀에 문의,cesco62_5.pdf,,cesco63,1.1302485949586245,2024-10-04,2024-10-04
셔틀버스 탑승 시간을 알려주세요.,일정 처리를 다하고 일정 마감을 하지 않아 Shut-down 알림이뜰 경우,모바일서비스(SRS),모바일서비스(SRS),"※근로시간 수정의 경우, 인사관리팀에 수정 처리 문의",cesco57_20.pdf,,cesco59,1.0867741058522371,2024-10-04,2024-10-04
출근 할 때 잠실역에서 셔틀버스 어디서 타는지 알고 싶어요.,오전 반차 쓴 후 서비스 시작 등 이유로 인해 서비스 일정에 지각이 잡힌 경우,모바일서비스(SRS),모바일서비스(SRS),※인사관리팀에 문의,cesco57_16.pdf,,cesco59,1.1341798094231572,2024-10-04,2024-10-04
본사 직원 출근 시간이 궁금합니다.,오전 반차 쓴 후 서비스 시작 등 이유로 인해 서비스 일정에 지각이 잡힌 경우,모바일서비스(SRS),모바일서비스(SRS),※인사관리팀에 문의,cesco57_16.pdf,,cesco59,1.024878383027444,2024-10-04,2024-10-04
