0,ProblemDescription,ProblemCategory,ProblemKeyword,Solution,SolutionDoc,AdditionalInfo,Code,L2D_SIM,CreateDate,UpdateDate
SC 법인 차량에 에어컨이 안나옵니다.,오전 반차 쓴 후 서비스 시작 등 이유로 인해 서비스 일정에 지각이 잡힌 경우,모바일서비스(SRS),모바일서비스(SRS),※인사관리팀에 문의,cesco8_16.pdf,,cesco8,0.6134491222988762,2024-08-29,2024-08-29
차세대시스템 내 DB 구조가 궁금합니다.,본사의 무선 네트워크 연결 방법,네트워크 및 인터넷,네트워크,"1.작업표시줄 → 네트워크 아이콘 클릭 → 네트워크 및 인터넷 설정2.2. Wi-Fi → 알려진 네트워크 관리 → 새 네트워크 추가(새 네트워크 추가가 안되는 경우, 알려진 네트워크 관리 목록에서 CESCO_User 삭제 후 추가) (새 네트워크 정보) 네트워크 이름: CESCO_User(대소문자 구별), 보안종류: WPA2-개인 AES, 보안 키: cesco15881119, V(체크) 자동으로 연결, V(체크) 이 네트워크에서 브로드캐스팅하지 않는 경우에도 연결3.CESCO_User 연결",cesco7_1.pdf,,cesco7,0.61952082275236,2024-08-29,2024-08-29
DATA를 DB에 올리는 방법이 궁금합니다.,IDISK 드라이브 용량 증설 방법,인터넷디스크(IDISK),인터넷디스크,1.IDISK 전용탐색기 → 우측 상단 돋보기 모양 → 삭제한 파일만 보기2.폴더 이동 → 삭제된 파일 마우스 우클릭 → 삭제파일 정리3.IDISK 권한 요청 매뉴얼 참고하여 기안,cesco12_0.pdf,"IDISK 용량 정리 후에도 부족한 경우 결재 올려 증설 요청기안시 요청할 드라이브명과 필요한 용량 기재PC 교체, 포맷으로 인한 IDISK 용량 증설의 경우, 백업사이트(PCNAS) 사용총무실 이태완 사원에게 PCNAS 계정 요청",cesco12,0.6134057131288839,2024-08-29,2024-08-29
바퀴벌레 해충 동정 법이 궁금합니다.,겸직자 세스넷 사용 방법,세스넷,세스넷 (메인프레임),"1.기존 사용하던 그룹웨어 ID / PW 로 로그인('기존ID_1'로 새로 생성한 ID는 그룹웨어 로그인할 경우에만 사용)2.오른쪽 하단의 부서변경 버튼 클릭3.겸직 부서 선택 후 확인※인사관리 → 근로시간관리 → O/T 승인 화면에 지사원 O/T 신청건 조회 불가 (지사장님의경우)※O/T 신청, 승인의 경우 겸직자에 대한 로직이 반영 되어있지 않음※지사장이 없는 지사의 경우, 지사팀장님이 최종 결재자로 진행되어 O/T 신청 조회가 안됨",cesco10_36.pdf,,cesco10,0.599302828583518,2024-08-29,2024-08-29
시궁쥐와 들쥐의 차이점이 궁금합니다.,겸직자 세스넷 사용 방법,세스넷,세스넷 (메인프레임),"1.기존 사용하던 그룹웨어 ID / PW 로 로그인('기존ID_1'로 새로 생성한 ID는 그룹웨어 로그인할 경우에만 사용)2.오른쪽 하단의 부서변경 버튼 클릭3.겸직 부서 선택 후 확인※인사관리 → 근로시간관리 → O/T 승인 화면에 지사원 O/T 신청건 조회 불가 (지사장님의경우)※O/T 신청, 승인의 경우 겸직자에 대한 로직이 반영 되어있지 않음※지사장이 없는 지사의 경우, 지사팀장님이 최종 결재자로 진행되어 O/T 신청 조회가 안됨",cesco10_36.pdf,,cesco10,0.6155162831468215,2024-08-29,2024-08-29
세스코 터치센터의 주소가 궁금해요.,세스넷 문자메시지 발송인 번호 변경 문의,세스넷,세스넷 (메인프레임),※인사관리팀으로 연락해서 E-HR에 연락처를 변경해야 합니다.※인사팀에서 변경후 EHR 데이터는 바로 이관되는것이 아니기 때문에 2~3일정도 적용되는데시간이 걸립니다.,cesco10_41.pdf,,cesco10,0.5631028759301162,2024-08-29,2024-08-29
세스카페의 아메리카노 가격이 궁금합니다.,"세스넷 해외법인 메뉴 진입 시 ""사용자별 권한관리에서 권한을 넣어주세요"" 라는 안내메시지 발생할 경우",세스넷,CESNET-M,1.지사 기술팀장에게 해당 메뉴 권한이 있으므로 지사 기술팀장에게 권한 받기2.본사 해외사업지원팀에 권한 문의,cesco10_13.pdf,,cesco10,0.6347614933759769,2024-08-29,2024-08-29
세스코 터치센터 근처 버스정류장이 어디있나요,세스톡 바탕 투명도 조절하는 방법,세스톡,세스톡,1.채팅창 시작2.채팅창 상단의 조절바로 투명도 조절이 가능합니다.,cesco11_3.pdf,,cesco11,0.6098959236785622,2024-08-29,2024-08-29
터치센터에서 강일역 가능 방법이 궁금해요,겸직자 세스넷 사용 방법,세스넷,세스넷 (메인프레임),"1.기존 사용하던 그룹웨어 ID / PW 로 로그인('기존ID_1'로 새로 생성한 ID는 그룹웨어 로그인할 경우에만 사용)2.오른쪽 하단의 부서변경 버튼 클릭3.겸직 부서 선택 후 확인※인사관리 → 근로시간관리 → O/T 승인 화면에 지사원 O/T 신청건 조회 불가 (지사장님의경우)※O/T 신청, 승인의 경우 겸직자에 대한 로직이 반영 되어있지 않음※지사장이 없는 지사의 경우, 지사팀장님이 최종 결재자로 진행되어 O/T 신청 조회가 안됨",cesco10_36.pdf,,cesco10,0.5742999947091749,2024-08-29,2024-08-29
셔틀버스 탑승 시간을 알려주세요.,퇴사자가 가지고 있던 누락된 플랜들 확인할 수 있는 방법,세스넷,CESNET-M,※퇴직자 플랜누락은 세스넷 -M > 파트장전용 > 루트플랜 배정대상 고객 - 파트 화면에서 조회 가능합니다.,cesco10_15.pdf,,cesco10,0.5890574740896155,2024-08-29,2024-08-29
