0,ProblemDescription,ProblemCategory,ProblemKeyword,Solution,SolutionDoc,AdditionalInfo,Code,L2D_SIM,CreateDate,UpdateDate
SC 법인 차량에 에어컨이 안나옵니다.,핸드폰(휴대폰) 카메라로 찍은 사진 전송시 PC에서 열람이 안되는 경우 발생.,PC관리,디바이스,heic오류로 파일을 표시하려면 HEVC 비디오 확장명이 필요합니다.1.핸드폰 설정 화면 열기1)핸드폰 설정 실행 > 검색 > '카메라' 검색 > 카메라 앱 정보2.카메라 실행 > 톱니바퀴(설정 아이콘)3.고효율 사진 비활성화※비활성화 후 촬영한 사진부터 HEIC가 해제됩니다.,cesco4_7.pdf,,cesco4,0.6484938447670453,2024-08-30,2024-08-30
차세대시스템 내 DB 구조가 궁금합니다.,복합기에 ID/비밀번호를 사번/사번으로 로그인 시 해당 사번은등록되지 않은 사용자라고 뜨면서 로그인 되지 않는 문제,PC관리,디바이스,"아이디, 비밀번호를 입력하고 밑에 로그인 경로에 로컬 DB 인증으로 설정이 된 채로 로그인 시도를 해서로그인이 안되는 경우입니다.-로그인 경로에 서버 DB 인증으로 바꾸고 로그인 재 시도",cesco4_19.pdf,,cesco4,0.6182474619454296,2024-08-30,2024-08-30
DATA를 DB에 올리는 방법이 궁금합니다.,복합기에 ID/비밀번호를 사번/사번으로 로그인 시 해당 사번은등록되지 않은 사용자라고 뜨면서 로그인 되지 않는 문제,PC관리,디바이스,"아이디, 비밀번호를 입력하고 밑에 로그인 경로에 로컬 DB 인증으로 설정이 된 채로 로그인 시도를 해서로그인이 안되는 경우입니다.-로그인 경로에 서버 DB 인증으로 바꾸고 로그인 재 시도",cesco4_19.pdf,,cesco4,0.6281664507269984,2024-08-30,2024-08-30
바퀴벌레 해충 동정 법이 궁금합니다.,알약 내PC지키미 취약점 점검이 계속 실행되는 경우 해결 방법,보안프로그램,백신(알약),"1.알약 내PC지키미 → 전체 검사2.조치 필요한 항목 클릭 후 조치※ [운영체제, MS Office의 최신 보안 패치 설치 여부 점검] 항목 조치 시 오래 걸림3.점검 결과 점수 80점 이상 유지",cesco8_11.pdf,,cesco8,0.6188406473286298,2024-08-30,2024-08-30
시궁쥐와 들쥐의 차이점이 궁금합니다.,키보드 타이핑 시 자음과 모음이 분리되어 입력됩니다.,PC관리,디바이스,1.장치관리자 실행2.키보드 → HID 키보드 장치 우클릭3.디바이스 제거 클릭4.키보드 우클릭 → 하드웨어 변경 사항 검색 클릭 후 타이핑 진행5.이후에도 자음과 모음이 분리되어 입력도리 시 서비스 데스크에 문의,cesco4_18.pdf,,cesco4,0.6354072497144289,2024-08-30,2024-08-30
세스코 터치센터의 주소가 궁금해요.,세스넷 문자메시지 발송인 번호 변경 문의,세스넷,세스넷 (메인프레임),※인사관리팀으로 연락해서 E-HR에 연락처를 변경해야 합니다.※인사팀에서 변경후 EHR 데이터는 바로 이관되는것이 아니기 때문에 2~3일정도 적용되는데시간이 걸립니다.,cesco9_41.pdf,,cesco9,0.6246835861350609,2024-08-30,2024-08-30
세스카페의 아메리카노 가격이 궁금합니다.,SRS 고객제공문서 사후미팅 선택이 불가한 경우.,모바일서비스(SRS),모바일서비스(SRS),※서비스운영팀에 문의,cesco7_13.pdf,,cesco7,0.6776874976752264,2024-08-30,2024-08-30
세스코 터치센터 근처 버스정류장이 어디있나요,본사에서 네트워크 연결 시 CESCO_User 와이파이가 보이지 않거나 눌러도 네트워크가 연결되지 않습니다 라고 나올 경우.,네트워크 및 인터넷,네트워크,"윈도우 업데이트를 오래 하지 않아서 생긴 문제입니다.1.설정 → updaet → windows update에서 최신 업데이트 하기2.PC 재부팅 → WIFI → 알려진 네트워크 관리 클릭3.새 네트워크 추가 → 이름: CESCO_User, 보안종류: WP A2-개인 AES, 보안 키:cesco15881119 입력4.CESCO_User 정상 연결 확인",cesco6_2.pdf,,cesco6,0.6481481618982142,2024-08-30,2024-08-30
터치센터에서 강일역 가능 방법이 궁금해요,SRS DE 화면에서 지사 요청 조회 불가할 때 해결 방법,모바일서비스(SRS),모바일서비스(SRS),1.조회할 지사 요청 서비스 요청일자 확인2.SRS → 지사요청등록 → 지사요청 클릭 → 검색기간을 '요청일자 ~ 요청일자' 로 지정 →본부를 '전체' 로 지정 → 조회(조회 목록이 많아 조회가 안된 경우),cesco7_6.pdf,,cesco7,0.6234044451065244,2024-08-30,2024-08-30
셔틀버스 탑승 시간을 알려주세요.,오전 반차 쓴 후 서비스 시작 등 이유로 인해 서비스 일정에 지각이 잡힌 경우,모바일서비스(SRS),모바일서비스(SRS),※인사관리팀에 문의,cesco7_16.pdf,,cesco7,0.6246499988926905,2024-08-30,2024-08-30
